case,seed,dispatch,task_id,cumulative_share
case3,2,7400,3,0.196081
case3,2,7400,4,0.197568
case3,2,7400,5,0.205270
case3,2,7500,1,0.200133
case3,2,7500,2,0.200800
case3,2,7500,3,0.196133
case3,2,7500,4,0.197600
case3,2,7500,5,0.205333
case3,2,7600,1,0.200132
case3,2,7600,2,0.200789
case3,2,7600,3,0.196711
case3,2,7600,4,0.197895
case3,2,7600,5,0.204474
case3,2,7700,1,0.200779
case3,2,7700,2,0.201429
case3,2,7700,3,0.196494
case3,2,7700,4,0.196494
case3,2,7700,5,0.204805
case3,2,7800,1,0.198974
case3,2,7800,2,0.201795
case3,2,7800,3,0.197436
case3,2,7800,4,0.196538
case3,2,7800,5,0.205256
case3,2,7900,1,0.199241
case3,2,7900,2,0.202911
case3,2,7900,3,0.197215
case3,2,7900,4,0.195570
case3,2,7900,5,0.205063
case3,2,8000,1,0.199375
case3,2,8000,2,0.203375
case3,2,8000,3,0.197625
case3,2,8000,4,0.195500
case3,2,8000,5,0.204125
case3,2,8100,1,0.198148
case3,2,8100,2,0.203580
case3,2,8100,3,0.197778
case3,2,8100,4,0.196173
case3,2,8100,5,0.204321
case3,2,8200,1,0.197927
case3,2,8200,2,0.203780
case3,2,8200,3,0.198537
case3,2,8200,4,0.195732
case3,2,8200,5,0.204024
case3,2,8300,1,0.198072
case3,2,8300,2,0.204337
case3,2,8300,3,0.197831
case3,2,8300,4,0.196145
case3,2,8300,5,0.203614
case3,2,8400,1,0.198333
case3,2,8400,2,0.204524
case3,2,8400,3,0.198214
case3,2,8400,4,0.195595
case3,2,8400,5,0.203333
case3,2,8500,1,0.199059
case3,2,8500,2,0.204471
case3,2,8500,3,0.197765
case3,2,8500,4,0.195647
case3,2,8500,5,0.203059
case3,2,8600,1,0.199535
case3,2,8600,2,0.204070
case3,2,8600,3,0.197209
case3,2,8600,4,0.196047
case3,2,8600,5,0.203140
